"inflammatory_risk_class","patients","records","formulations","records_per_formulation","delivery","adaptive","innate","cytokine","off_target","sbd"
"High",13,6500,500,13,1.43747715566088,2.61114167035382,2.16362720003586,2.77487506252954,3.15560548680078,0.458618522662693
"Intermediate",78,39000,500,78,1.43673628171711,2.64505358302526,1.80630469109021,2.38176303527691,2.93776358985296,0.505597859445351
"Low",109,54500,500,109,1.43639253817139,2.62330267901725,1.61792198811334,2.15472607047988,2.78522990730483,0.530321390974489
