"day","bootstrap_n","bootstrap_valid_n","bootstrap_mean_BPCI","bootstrap_sd_BPCI","bootstrap_median_BPCI","bootstrap_q025_BPCI","bootstrap_q975_BPCI","n_donors","total_cells","min_cells_per_donor","median_cells_per_donor","max_cells_per_donor","original_unpaired_BPCI"
1,2000,2000,0.691026666666667,0.0617727781133063,0.673333333333333,0.613333333333333,0.84,3,12633,3624,3885,5124,0.633333333333333
2,2000,2000,0.870816666666667,0.0576357778284237,0.88,0.713333333333333,0.98,6,25561,52,4732,7140,0.88
7,2000,2000,0.658,0.0784458000050722,0.633333333333333,0.492833333333333,0.82,6,47460,4397,5317,21572,0.633333333333333
21,2000,2000,0.58009,0.126655224946848,0.593333333333333,0.353333333333333,0.82,6,39980,4950,5864,11774,0.573333333333333
22,2000,2000,0.84112,0.0385316486017919,0.84,0.8,0.88,6,28890,3122,5047.5,5789,0.88
28,2000,2000,0.858606666666667,0.0966467567313156,0.88,0.546666666666667,0.98,6,30160,3952,4773,6761,0.88
42,2000,2000,0.719533333333333,0.093135190709748,0.713333333333333,0.473333333333333,0.84,6,26490,2114,4591.5,6125,0.84
