"day","null_n","null_mean","null_sd","null_q025","null_median","null_q975","observed_BPCI","exact_upper_tail_p","observed_percentile"
1,120,0.48,0.133221241398149,0.246666666666667,0.473333333333333,0.74,0.633333333333333,0.15,0.883333333333333
2,120,0.64,0.133221241398149,0.406666666666667,0.633333333333333,0.9,0.88,0.05,0.966666666666667
7,120,0.48,0.133221241398149,0.246666666666667,0.473333333333333,0.74,0.633333333333333,0.15,0.883333333333333
21,120,0.4,0.133221241398149,0.166666666666667,0.393333333333333,0.66,0.573333333333333,0.116666666666667,0.891666666666667
22,120,0.64,0.133221241398149,0.406666666666667,0.633333333333333,0.9,0.88,0.05,0.966666666666667
28,120,0.64,0.133221241398149,0.406666666666667,0.633333333333333,0.9,0.88,0.05,0.966666666666667
42,120,0.64,0.133221241398149,0.406666666666667,0.633333333333333,0.9,0.84,0.0916666666666667,0.933333333333333
