"inflammatory_risk_class","delivery_efficiency_mean","delivery_efficiency_sd","delivery_efficiency_q025","delivery_efficiency_median","delivery_efficiency_q975","adaptive_activation_mean","adaptive_activation_sd","adaptive_activation_q025","adaptive_activation_median","adaptive_activation_q975","innate_activation_mean","innate_activation_sd","innate_activation_q025","innate_activation_median","innate_activation_q975","cytokine_burden_mean","cytokine_burden_sd","cytokine_burden_q025","cytokine_burden_median","cytokine_burden_q975","off_target_activation_mean","off_target_activation_sd","off_target_activation_q025","off_target_activation_median","off_target_activation_q975","safety_by_design_score_mean","safety_by_design_score_sd","safety_by_design_score_q025","safety_by_design_score_median","safety_by_design_score_q975"
"Low",1.44874674580105,0.86222149085283,0,1.50319941727288,2.96145871275964,2.58153947293273,0.971786322825454,0.415488730960533,2.65553009360826,4.22811506155744,1.61783964719762,0.367077574661492,0.943834683146088,1.59030634967709,2.37399893824054,2.15412819965568,0.874401222401489,1.034871679445,1.82746065406552,4.06415715019129,2.78108338808248,1.5431974340239,0.208425303713345,2.77348585800764,5.30794427215274,0.529879766613606,0.164866052018046,0.197530069385073,0.535609817302079,0.819547373613323
"Intermediate",1.4517385871548,0.834882714263574,0,1.52077228073153,2.9071315467376,2.61142969077297,0.934636109698882,0.474889219117061,2.67729279065249,4.19018740182527,1.79690967284882,0.388285376972711,1.09310551422091,1.77008321922459,2.60259636782744,2.35295375510727,0.887702029184141,1.22369789525531,2.01612775772018,4.29387405469864,2.92302256953532,1.53778245377056,0.339698477190499,2.95014666976638,5.43522822993655,0.50762361583566,0.160497012064026,0.174593188565737,0.514783155436134,0.789925246757265
"High",1.39209262503288,0.84686877235559,0,1.49362144547117,2.89618401534675,2.50861927398671,0.957206843110639,0.349175367242964,2.60095307862166,4.16894699091173,2.16212547946361,0.335961885209369,1.60585193574457,2.1422973139353,2.83122068698702,2.78367320244519,0.867589787182624,1.76553261600461,2.41376515956921,4.66463737333668,3.22334807283885,1.51558867463159,0.63901199286042,3.30063247165547,5.73623361295786,0.448431517964001,0.159891058555199,0.119499579979326,0.45407651288935,0.732193433692413
